Sat Nov 26 16:56:23 2022    output.dat

         1997785 function calls (1949844 primitive calls) in 4.086 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
230581/194635    0.058    0.000    0.203    0.000 {built-in method builtins.isinstance}
215380/210926    0.036    0.000    0.038    0.000 {built-in method builtins.len}
    81578    0.027    0.000    0.027    0.000 {built-in method builtins.hasattr}
    55336    0.010    0.000    0.010    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/debug.py:514(__call__)
    52438    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
51775/50669    0.104    0.000    0.466    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    49857    0.191    0.000    0.191    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    37659    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
    31384    0.024    0.000    0.024    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
    31384    0.073    0.000    0.215    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
    28746    0.006    0.000    0.006    0.000 {built-in method builtins.issubclass}
    25231    0.025    0.000    0.025    0.000 {built-in method update}
    24756    0.019    0.000    0.019    0.000 {method 'view' of 'numpy.ndarray' objects}
    22683    0.021    0.000    0.024    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/GraphicsItem.py:97(getViewBox)
    21895    0.177    0.000    0.177    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:839(_style)
    18399    0.039    0.000    0.039    0.000 {built-in method numpy.array}
    17764    0.008    0.000    0.008    0.000 {method 'title' of 'str' objects}
    17693    0.063    0.000    0.063    0.000 {built-in method setProperty}
    17544    0.003    0.000    0.003    0.000 {method 'keys' of 'dict' objects}
    17487    0.029    0.000    0.029    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:28(__init__)
    17268    0.018    0.000    0.022    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/debug.py:522(__new__)
    17103    0.005    0.000    0.005    0.000 {method 'pop' of 'dict' objects}
    16376    0.093    0.000    0.094    0.000 {method 'emit' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
    16283    0.044    0.000    0.163    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/GraphicsItem.py:573(informViewBoundsChanged)
    16254    0.005    0.000    0.005    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ViewBox/ViewBox.py:278(implements)
    16221    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
    16185    0.049    0.000    0.087    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ViewBox/ViewBox.py:1065(itemBoundsChanged)
    16185    0.033    0.000    0.037    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/weakref.py:504(pop)
    13230    0.008    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2672(_amax_dispatcher)
    13230    0.020    0.000    0.096    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2677(amax)
    13230    0.004    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2797(_amin_dispatcher)
    13230    0.025    0.000    0.113    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2802(amin)
    13230    0.013    0.000    0.128    0.000 <__array_function__ internals>:177(amax)
    13230    0.016    0.000    0.146    0.000 <__array_function__ internals>:177(amin)
    13199    0.010    0.000    0.024    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:620(invalidate)
    12102    0.011    0.000    0.011    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotCurveItem.py:281(invalidateBounds)
    11977    0.003    0.000    0.003    0.000 {built-in method bottom}
    11977    0.003    0.000    0.003    0.000 {built-in method top}
    11918    0.006    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/numerictypes.py:282(issubclass_)
    11658    0.029    0.000    0.050    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:1151(dataType)
    11658    0.005    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:1177(isSequence)
    11658    0.009    0.000    0.066    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/_methods.py:60(_all)
    11658    0.012    0.000    0.078    0.000 {method 'all' of 'numpy.ndarray' objects}
    11110    0.006    0.000    0.008    0.000 {built-in method builtins.getattr}
    10641    0.019    0.000    0.019    0.000 {built-in method prepareGeometryChange}
    10272    0.019    0.000    0.019    0.000 {built-in method numpy.empty}
    10092    0.004    0.000    0.005    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:258(getId)
    10035    0.003    0.000    0.003    0.000 {built-in method x}
    10035    0.002    0.000    0.002    0.000 {built-in method y}
     9644    0.010    0.000    0.057    0.000 <__array_function__ internals>:177(dot)
     9644    0.002    0.000    0.002    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/multiarray.py:736(dot)
     8458    0.002    0.000    0.002    0.000 {method 'get' of 'mappingproxy' objects}
     8458    0.015    0.000    0.017    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:470(__setattr__)
     8022    0.004    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/Point.py:39(__getitem__)
7860/1572    0.028    0.000    0.056    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:789(recurser)
     7531    0.010    0.000    0.010    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/_internal.py:918(npy_ctypes_check)
     6897    0.115    0.000    0.437    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:233(mkColor)
     6370    0.035    0.000    0.035    0.000 {built-in method property}
     6288    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
     6288    0.008    0.000    0.010    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:739(_extendLine)
     6288    0.007    0.000    0.020    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:753(_extendLine_pretty)
     6288    0.005    0.000    0.005    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:1231(__call__)
     6241    0.088    0.000    0.271    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:352(mkPen)
     6190    0.003    0.000    0.004    0.000 {built-in method hide}
     6154    0.034    0.000    0.034    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ViewBox/ViewBox.py:455(viewRect)
     6095    0.099    0.000    1.393    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:792(updateItems)
     6095    0.105    0.000    0.670    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:866(getDisplayDataset)
     6022    0.019    0.000    0.612    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotCurveItem.py:313(setData)
     6022    0.136    0.000    0.593    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotCurveItem.py:366(updateData)
     6003    0.027    0.000    0.303    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotCurveItem.py:285(setPen)
     6003    0.007    0.000    0.010    0.000 {built-in method show}
     5959    0.060    0.000    0.060    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:327(<listcomp>)
     5959    0.044    0.000    0.063    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/numerictypes.py:356(issubdtype)
     5848    0.163    0.000    1.783    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:637(setData)
     5829    0.135    0.000    0.445    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:43(_updateDataRect)
     5829    0.010    0.000    0.456    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:75(dataRect)
     5345    0.004    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:22(_is_dunder)
     5341    0.003    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:33(_is_sunder)
     5341    0.005    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:44(_is_private)
     5341    0.018    0.000    0.039    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:89(__setitem__)
     5303    0.002    0.000    0.002    0.000 {built-in method builtins.max}
     4895    0.002    0.000    0.013    0.000 {built-in method builtins.setattr}
     4883    0.010    0.000    0.010    0.000 {built-in method __new__ of type object at 0x7494a0}
     4588    0.005    0.000    0.005    0.000 {built-in method setCosmetic}
     4450    0.002    0.000    0.003    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:218(__len__)
     4425    0.003    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:12(_is_descriptor)
     4411    0.001    0.000    0.001    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:227(maxWidth)
     4411    0.147    0.000    0.581    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:805(updateSpots)
     4411    0.004    0.000    0.011    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:830(_maybeRebuildAtlas)
     4411    0.009    0.000    0.010    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:863(_updateMaxSpotSizes)
     4411    0.002    0.000    0.002    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2302(_any_dispatcher)
     4411    0.009    0.000    0.054    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2307(any)
     4411    0.008    0.000    0.079    0.000 <__array_function__ internals>:177(any)
     4410    0.015    0.000    0.889    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:446(setData)
     4410    0.144    0.000    0.848    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:501(addPoints)
     4410    0.012    0.000    0.026    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:939(clear)
     4379    0.008    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:211(<dictcomp>)
