Sat Nov 26 16:56:23 2022    output.dat

         1997785 function calls (1949844 primitive calls) in 4.086 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    49857    0.191    0.000    0.191    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    21895    0.177    0.000    0.177    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:839(_style)
     5848    0.163    0.000    1.783    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:637(setData)
     4411    0.147    0.000    0.581    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:805(updateSpots)
     4410    0.144    0.000    0.848    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:501(addPoints)
     6022    0.136    0.000    0.593    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotCurveItem.py:366(updateData)
     5829    0.135    0.000    0.445    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:43(_updateDataRect)
     6897    0.115    0.000    0.437    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:233(mkColor)
     6095    0.105    0.000    0.670    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:866(getDisplayDataset)
51775/50669    0.104    0.000    0.466    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     6095    0.099    0.000    1.393    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:792(updateItems)
    16376    0.093    0.000    0.094    0.000 {method 'emit' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
     6241    0.088    0.000    0.271    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:352(mkPen)
    31384    0.073    0.000    0.215    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
    17693    0.063    0.000    0.063    0.000 {built-in method setProperty}
     5959    0.060    0.000    0.060    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:327(<listcomp>)
230581/194635    0.058    0.000    0.203    0.000 {built-in method builtins.isinstance}
      458    0.056    0.000    0.110    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:180(__new__)
